espacio_cultural_id,provincia_id,localidad_id,observaciones,provincia,localidad,nombre,direccion,codigo_postal,codigo_indicativo_telefono,telefono,mail,web,latitud,longitud,fuente,juridisccion,anio_de_creacion,descripcion_de_patrimonio,anio_de_inauguracion
300052,06,06490010,Código en Lomas de Zamora,Buenos Aires,Banfield,Museo De Artes Plásticas Pío Collivadino,Medrano 165,B1828IPC,011,42025223,,,-34.7482,-58.3946,DNPyM,Nacional,1892,"Obras de Pío Collivadino, de 1896 a 1945: óleos, dibujos, acuarelas, grabados, escenografías.",1992
300042,06,06035010,,Buenos Aires,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,"Sarmiento 101, 1 º Piso",B1870CBC,011,42059567,,,-34.66211,-58.36327,DNPyM,Municipal,1909,"Pinturas, dibujos, grabados, esculturas, fotografías vinculadas en su mayoría al riachuelo y a la ciudad de Avellaneda",1956
300645,06,06658010,,Buenos Aires,Quilmes,Museo De Artes Visuales Víctor E. Roverano,Rivadavia 498,B1878KJJ,011,42245336,,,-34.7192,-58.2517,DNPyM,Municipal,1969,"Pinturas, esculturas, grabados, dibujos, principalmente de artistas argentinos, desde fines del siglo XIX hasta nuestros días.",1975
300067,06,06658010,Código en Quilmes,Buenos Aires,Bernal,Museo Municipal Histórico Regional Almirante Brown,25 de Mayo 198,B1876AWD,011,42525508,,,-34.7123,-58.2849,DNPyM,Municipal,,"Las colecciones tienen su origen en donaciones de los vecinos de la zona y estas constan de pinturas, esculturas y grabados de artistas locales. Objetos históricos del siglo XIX, relacionados con las invasiones inglesas, el combate de Quilmes, etc.",
300646,06,06658010,,Buenos Aires,Quilmes,Museo Municipal Histórico Fotográfico De Quilmes Gerónima Irma Giles Y Gaetano De Mayol,25 de Mayo 218 Este / Lavalle y Brown,B1878JZF,011,42539162,,,-34.712406,-58.285194,DNPyM,Municipal,,"Fotografías relacionadas con la historia de la fotografía y con la vida y desarrollo de la ciudad de Quilmes, desde fines del siglo pasado hasta la fecha. Máquinas fotográficas y accesorios de principio de siglo.",1990
300644,06,06658010,,Buenos Aires,Quilmes,Museo Municipal Del Transporte Don Carlos Hillner Y Decoud,Laprida y Ricardo Rojas,B1879BTQ,011,42805488,,,-34.749,-58.2732,DNPyM,Municipal,1909,"Posee una colección de carruajes con modelos datan de los años 1860 a 1900 aproximadamente. Todos los elementos necesarios para atender al personal, los carruajes y los caballos.",1967
300568,06,06260010,Código en Esteban Echeverría,Buenos Aires,Monte Grande,Museo Histórico Municipal La Campana,"Deán Gregorio Funes 1221, B° la Morita",1842,011,42900437,,,-34.813,-58.4584,DNPyM,Municipal,1974,"Elementos relacionados con Esteban Echeverría, documentos, muebles, fotografías. Ciencias naturales, arqueología, paleontología de la zona.",1984
300070,06,06028010,Código en Almirante Brown,Buenos Aires,Burzaco,Museo Claudio León Sempere,Colón 581,B1852BSE,011,42997279,,,-34.7918,-58.3503,DNPyM,Privada,1985,Esculturas de diferentes artistas nacionales y extranjeros contemporáneos.,1986
300786,06,06756010,,Buenos Aires,San Isidro,Museo Histórico Municipal Brig. Gral. Juan M. Pueyrredón,Rivera Indarte 48,B1642IFB,011,45123131,,,-34.4705,-58.5033,DNPyM,Municipal,1941,"Mobiliario, platería, porcelana, imaginería correspondientes al siglo XIX. Efectos personales del General Juan Martín de Pueyrredón y de su familia. Historia de San Isidro, desde 1580 hasta 1944. Retratos por Prilidiano Pueyrredón.",1948
300915,06,06805010,,Buenos Aires,Tigre,Museo De La Reconquista,Avda. Liniers y Padre Castañeda,B1648DAP,011,45124496,cultura@tigre.gov.ar,,-34.4162,-58.5883,DNPyM,Municipal,1948,"Documentos de los siglos XIX y XX, armas, mobiliario, medallística, objetos de arte de la época colonial vinculados con la reconquista y defensa de la ciudad de Buenos Aires y con la historia de Tigre. Réplicas de uniformes militares (1806-1826), objetos",1971
300918,06,06805010,,Buenos Aires,Tigre,Museo De Arte Tigre,Paseo Victorica 972,B1648DVT,011,45124528,museodearte@tigre.gov.ar,,-34.4101,-58.5893,DNPyM,Municipal,,"Colecciones de pintura argentina, figurativa de mediados del siglo XIX a mediados del siglo XX.",2006
300787,06,06756010,,Buenos Aires,San Isidro,Museo Biblioteca Y Archivo Histórico Municipal De San Isidro Dr. Horacio Beccar Varela,Adrián Beccar Varela 774,B1642DMD,011,45754038,,,-34.467301,-58.507225,DNPyM,Municipal,2009,"Testimonios del pasado Sansidrense, cuadros, mobiliario y objetos pertenecientes a próceres o personajes destacados en el ámbito local. Casa museo recuerda a sus antiguos propietarios, Mariquita Sanchez de Thompson, Pascuala Beláustegui de Arana, entre o",2006
300574,06,06568010,,Buenos Aires,Morón,Museo De La Catedral De Morón Inmaculada Concepción Del Buen Viaje,Gral. Manuel Belgrano 327,B1708IFG,011,46290969,mensajes@catedraldemoron.org.ar,,-34.6521,-58.6212,DNPyM,,,"Imagineria, estandartes, atriles, documentos, manuscritos, fotos, libros sacramentales, imágenes del siglo XVIII y XIX. Pinturas de las bienales de arte sacro.",
300575,06,06568010,,Buenos Aires,Morón,Museo Histórico Y De Arte Gral. José De San Martín,Casullo 59,B1708IPA,011,46291456,arteycultura@moron.gov.ar,,-34.6492,-58.6241,DNPyM,Municipal,1954,"Historia, arte, arqueología, instrumentos musicales, medallística, numismática, mobiliario, armas, vestimentas, fotografías y documentos dMorón y de todo el país.",1955
300262,06,06840010,Código en Tres de Febrero,Buenos Aires,Ciudadela,Museo Histórico Del Ejército Argentino,Carlos Pellegrini 4000,B1702BDV,011,46531818,museoejercito@gmail.com; jorgenemi@hotmail.com,www.dahe.ejercito.mil.ar,-34.6311,-58.5433,DNPyM,Nacional,1993,"Desarrollo de la historia militar desde las postrimerías de Virreinato hasta nuestros días. Expresando hechos y circunstancias que hicieron a la formación nacional. Através de sus salas, Malvinas, Del Libertador, Misiones de paz ONU, de infantería.",1993
300824,06,06760010,,Buenos Aires,San Miguel,Museo Mariposas Del Mundo,Italia 650,B1663NXN,011,46642108,mariposas@newroad.com.ar,,-34.5401,-58.7037,DNPyM,Privada,1994,Lepidópteros y coleópteros de todo el mundo; muestras de ámbar fósil con restos de insectos.,2000
300576,06,06568010,,Buenos Aires,Morón,Museo Nacional De Aeronáutica Brig. Edmundo H. Civati Bernasconi,Avda. Eva Perón 2200,B1708FEU,011,46979780,museonacionalaeronautica@yahoo.com.ar,,-34.6761,-58.638,DNPyM,Nacional,1960,"Objetos referidos a la historia aeronáutica y espacial, nacional y mundial, desde sus orígenes hasta el presente. Modelos de aviones y motores, fotografías, documentos, instrumentos, etc. En el parque del museo se exiben aviones de distinto tipo.",1962
